1,     1,     1,     2,
2,     1,     2,     3,
3,     1,     3,     4,
4,     2,     4,     5,
5,     2,     5,     6,
6,     2,     6,     7,
7,     2,     7,     8,
8,     3,     8,     9,
9,     3,     9,    10,
10,     3,    10,    11,
11,     3,    11,    12,
12,     3,    12,    13,
13,     3,    13,    14,
14,     3,    14,    15,
15,     3,    15,    16,
16,     2,    16,    17,
17,     2,    17,    18,
18,     2,    18,    19,
19,     2,    19,    20,
20,     1,    20,    21,
21,     1,    21,    22,
22,     1,    22,     1,
30,     4,     4,    20,
32,     4,     8,    16,
